,,precision,recall,f1-score,support
Random Forest,bruteforce,0.9968465311843028,0.9779993124785149,0.987332986291862,2909.0
Random Forest,normal,0.9983037820359916,0.9997611211381251,0.9990319201135173,37676.0
Random Forest,scan_A,1.0,1.0,1.0,3981.0
Random Forest,scan_SU,1.0,1.0,1.0,4487.0
Random Forest,sparta,1.0,1.0,1.0,2823.0
Random Forest,accuracy,0.9985927982111188,0.9985927982111188,0.9985927982111188,0.9985927982111188
Random Forest,macro avg,0.9990300626440589,0.9955520867233278,0.9972729812810759,51876.0
Random Forest,weighted avg,0.9985912532038546,0.9985927982111188,0.9985865964862345,51876.0
Logistic Regression,bruteforce,0.8754716981132076,0.07975249226538329,0.1461877756773787,2909.0
Logistic Regression,normal,0.9324885078891788,0.9960717698269456,0.9632319913758807,37676.0
Logistic Regression,scan_A,0.9756876227897839,0.9979904546596332,0.9867130262014155,3981.0
Logistic Regression,scan_SU,0.9957503914113174,0.9921996879875195,0.9939718687206965,4487.0
Logistic Regression,sparta,1.0,1.0,1.0,2823.0
Logistic Regression,accuracy,0.9447143187601202,0.9447143187601202,0.9447143187601202,0.9447143187601202
Logistic Regression,macro avg,0.9558796440406976,0.8132028809478964,0.8180209323950741,51876.0
Logistic Regression,weighted avg,0.941752036117525,0.9447143187601202,0.9238770352143724,51876.0
Decision Trees,bruteforce,0.9845731916352417,0.9872808525266414,0.9859251630621353,2909.0
Decision Trees,normal,0.9990177338855262,0.9988056056906254,0.9989116585262263,37676.0
Decision Trees,scan_A,1.0,1.0,1.0,3981.0
Decision Trees,scan_SU,1.0,1.0,1.0,4487.0
Decision Trees,sparta,1.0,1.0,1.0,2823.0
Decision Trees,accuracy,0.998419307579613,0.998419307579613,0.998419307579613,0.998419307579613
Decision Trees,macro avg,0.9967181851041536,0.9972172916434534,0.9969673643176723,51876.0
Decision Trees,weighted avg,0.9984215351287302,0.998419307579613,0.9984203089286346,51876.0
Naive bayes,bruteforce,1.0,0.9707803368855277,0.985173556602128,2909.0
Naive bayes,normal,0.9969599139090665,0.9835704427221573,0.9902199182321032,37676.0
Naive bayes,scan_A,0.8668413010259769,0.9974880683245416,0.927587012380285,3981.0
Naive bayes,scan_SU,0.997990174184904,0.99598841096501,0.9969882877858337,4487.0
Naive bayes,sparta,1.0,1.0,1.0,2823.0
Naive bayes,accuracy,0.9858894286375203,0.9858894286375203,0.9858894286375203,0.9858894286375203
Naive bayes,macro avg,0.9723582778239894,0.9895654517794472,0.9799937550000699,51876.0
Naive bayes,weighted avg,0.9873995459825367,0.9858894286375203,0.9862480888859831,51876.0
Support Vector Machines,bruteforce,0.9978798586572438,0.9707803368855277,0.9841435790207353,2909.0
Support Vector Machines,normal,0.9966903198474899,0.9991241108397919,0.9979057314034251,37676.0
Support Vector Machines,scan_A,0.99325,0.9979904546596332,0.9956145846385165,3981.0
Support Vector Machines,scan_SU,1.0,0.9921996879875195,0.9960845732184808,4487.0
Support Vector Machines,sparta,0.9989384288747346,1.0,0.9994689325544344,2823.0
Support Vector Machines,accuracy,0.9968964453697278,0.9968964453697278,0.9968964453697278,0.9968964453697278
Support Vector Machines,macro avg,0.9973517214758937,0.9920189180744945,0.9946434801671185,51876.0
Support Vector Machines,weighted avg,0.996901619903642,0.9968964453697278,0.9968857264593489,51876.0
K Nearest Neighbour,bruteforce,0.9968265162200282,0.9718116191130973,0.984160139251523,2909.0
K Nearest Neighbour,normal,0.9978276994807672,0.9997345790423612,0.9987802291047942,37676.0
K Nearest Neighbour,scan_A,1.0,1.0,1.0,3981.0
K Nearest Neighbour,scan_SU,0.999777183600713,1.0,0.9998885793871867,4487.0
K Nearest Neighbour,sparta,1.0,1.0,1.0,2823.0
K Nearest Neighbour,accuracy,0.998226540211273,0.998226540211273,0.998226540211273,0.998226540211273
K Nearest Neighbour,macro avg,0.9988862798603018,0.9943092396310916,0.9965657895487008,51876.0
K Nearest Neighbour,weighted avg,0.9982250937647053,0.998226540211273,0.9982162428202871,51876.0
